category,file,occurrences
Forge 1.12 lifecycle,src/main/java/net/shadowmage/ancientwarfare/automation/AncientWarfareAutomation.java,3
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/automation/AncientWarfareAutomation.java,3
Forge 1.12 proxy,src/main/java/net/shadowmage/ancientwarfare/automation/AncientWarfareAutomation.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelStorage.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockHandCrankedGenerator.java,4
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockStirlingGenerator.java,4
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueDistributor.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueJunction.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueTransportShaft.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWaterwheelGenerator.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWindmillBlade.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockWindmillGenerator.java,4
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/automation/init/AWAutomationBlocks.java,1
Forge 1.12 annotation,src/main/java/net/shadowmage/ancientwarfare/automation/init/AWAutomationItems.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/AnimatedBlockRenderer.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/BaseAnimationRenderer.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/BaseTorqueRenderer.java,2
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/FlywheelControllerRenderer.java,3
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/FlywheelStorageRenderer.java,14
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/HandCrankedGeneratorRenderer.java,3
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/ITESRRenderer.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/StirlingGeneratorRenderer.java,4
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueDistributorRenderer.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueJunctionRenderer.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueShaftRenderer.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueTieredRenderer.java,1
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/TorqueTransportSidedRenderer.java,5
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/WaterwheelGeneratorRenderer.java,3
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/WindmillBladeRenderer.java,12
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/automation/render/WindmillGeneratorRenderer.java,3
CodeChickenLib,src/main/java/net/shadowmage/ancientwarfare/core/AncientWarfareCore.java,1
Forge 1.12 lifecycle,src/main/java/net/shadowmage/ancientwarfare/core/AncientWarfareCore.java,4
