file,replacement_count,details
src/main/java/net/shadowmage/ancientwarfare/automation/AWAutomationTab.java,6,import:net.minecraft.item.ItemStack->net.minecraft.world.item.ItemStack=1; import:net.minecraft.util.NonNullList->net.minecraft.core.NonNullList=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:Side->Dist=1; type:SideOnly->OnlyIn=1
src/main/java/net/shadowmage/ancientwarfare/automation/AncientWarfareAutomation.java,1,import:net.minecraftforge.fml.common.eventhandler.SubscribeEvent->net.minecraftforge.eventbus.api.SubscribeEvent=1
src/main/java/net/shadowmage/ancientwarfare/automation/AutomationInputHandler.java,7,import:net.minecraft.client.settings.KeyBinding->net.minecraft.client.KeyMapping=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:KeyBinding->KeyMapping=2; type:Side->Dist=1; type:SideOnly->OnlyIn=1
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,34,call:.isRemote->.isClientSide=1; import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.entity.player.EntityPlayer->net.minecraft.world.entity.player.Player=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; import:net.minecraft.util.EnumHand->net.minecraft.world.InteractionHand=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:EntityPlayer->Player=1; type:EnumFacing->Direction=3; type:EnumHand->InteractionHand=1; type:IBlockAccess->BlockGetter=2; type:IBlockState->BlockState=11; type:Side->Dist=1; type:SideOnly->OnlyIn=1; type:TileEntity->BlockEntity=1; type:World->Level=2
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockBaseAutomation.java,9,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.util.ResourceLocation->net.minecraft.resources.ResourceLocation=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:IBlockState->BlockState=1; type:Side->Dist=2; type:SideOnly->OnlyIn=2
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderDeluxe.java,10,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:IBlockState->BlockState=1; type:Side->Dist=1; type:SideOnly->OnlyIn=1; type:TileEntity->BlockEntity=1; type:World->Level=1
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,24,call:.isRemote->.isClientSide=1; import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.entity.EntityLivingBase->net.minecraft.world.entity.LivingEntity=1; import:net.minecraft.entity.player.EntityPlayer->net.minecraft.world.entity.player.Player=1; import:net.minecraft.item.ItemStack->net.minecraft.world.item.ItemStack=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; import:net.minecraft.util.EnumHand->net.minecraft.world.InteractionHand=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; type:EntityLivingBase->LivingEntity=1; type:EntityPlayer->Player=1; type:EnumFacing->Direction=1; type:EnumHand->InteractionHand=1; type:IBlockState->BlockState=5; type:TileEntity->BlockEntity=1; type:World->Level=4
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,44,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.client.renderer.texture.TextureAtlasSprite->net.minecraft.client.renderer.texture.TextureAtlasSprite=1; import:net.minecraft.entity.EntityLivingBase->net.minecraft.world.entity.LivingEntity=1; import:net.minecraft.item.ItemStack->net.minecraft.world.item.ItemStack=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.EnumFacing->net.minecraft.core.Direction=1; import:net.minecraft.util.EnumHand->net.minecraft.world.InteractionHand=1; import:net.minecraft.util.NonNullList->net.minecraft.core.NonNullList=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:EntityLivingBase->LivingEntity=1; type:EnumFacing->Direction=2; type:EnumHand->InteractionHand=1; type:IBlockAccess->BlockGetter=2; type:IBlockState->BlockState=8; type:Side->Dist=7; type:SideOnly->OnlyIn=7; type:TileEntity->BlockEntity=1; type:World->Level=2
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelStorage.java,48,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.client.renderer.texture.TextureAtlasSprite->net.minecraft.client.renderer.texture.TextureAtlasSprite=1; import:net.minecraft.entity.EntityLivingBase->net.minecraft.world.entity.LivingEntity=1; import:net.minecraft.item.Item->net.minecraft.world.item.Item=1; import:net.minecraft.item.ItemStack->net.minecraft.world.item.ItemStack=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.NonNullList->net.minecraft.core.NonNullList=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:EntityLivingBase->LivingEntity=1; type:IBlockAccess->BlockGetter=1; type:IBlockState->BlockState=15; type:Side->Dist=7; type:SideOnly->OnlyIn=7; type:TileEntity->BlockEntity=1; type:World->Level=4
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockHandCrankedGenerator.java,25,import:net.minecraft.block.state.IBlockState->net.minecraft.world.level.block.state.BlockState=1; import:net.minecraft.client.renderer.texture.TextureAtlasSprite->net.minecraft.client.renderer.texture.TextureAtlasSprite=1; import:net.minecraft.tileentity.TileEntity->net.minecraft.world.level.block.entity.BlockEntity=1; import:net.minecraft.util.math.BlockPos->net.minecraft.core.BlockPos=1; import:net.minecraft.world.IBlockAccess->net.minecraft.world.level.BlockGetter=1; import:net.minecraft.world.World->net.minecraft.world.level.Level=1; import:net.minecraftforge.fml.relauncher.Side->net.minecraftforge.api.distmarker.Dist=1; import:net.minecraftforge.fml.relauncher.SideOnly->net.minecraftforge.api.distmarker.OnlyIn=1; type:IBlockAccess->BlockGetter=1; type:IBlockState->BlockState=4; type:Side->Dist=5; type:SideOnly->OnlyIn=5; type:TileEntity->BlockEntity=1; type:World->Level=1
