module,category,file,first_line,matched_patterns
automation,lifecycle/proxy,src/main/java/net/shadowmage/ancientwarfare/automation/AncientWarfareAutomation.java,8,net\.minecraftforge\.fml\.common\.event\.FML | net\.minecraftforge\.fml\.common\.SidedProxy | net\.minecraftforge\.fml\.common\.Mod\.(?:EventHandler|Instance)
automation,commands,src/main/java/net/shadowmage/ancientwarfare/automation/AncientWarfareAutomation.java,13,FMLServerStartingEvent
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,54,openGui\(
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,3,net\.minecraft\.block\. | BlockStateContainer | createBlockState\( | getMetaFromState\(
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockBaseAutomation.java,3,net\.minecraft\.block\.
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockBaseAutomation.java,31,ModelLoader\.setCustom
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,3,net\.minecraft\.block\.
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,8,net\.minecraft\.block\. | BlockStateContainer | getStateFromMeta\( | getMetaFromState\(
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,115,ModelLoader\.setCustom
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,3,codechicken\.lib
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelStorage.java,8,net\.minecraft\.block\. | BlockStateContainer | createBlockState\( | getStateFromMeta\( | getMetaFromState\(
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelStorage.java,133,ModelLoader\.setCustom
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelStorage.java,3,codechicken\.lib
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockHandCrankedGenerator.java,7,net\.minecraft\.block\.
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockHandCrankedGenerator.java,55,ModelLoader\.setCustom
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockHandCrankedGenerator.java,3,codechicken\.lib
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockMailbox.java,59,openGui\(
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockMailbox.java,3,net\.minecraft\.block\. | BlockStateContainer | createBlockState\( | getStateFromMeta\( | getMetaFromState\(
automation,rendering,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockStirlingGenerator.java,54,ModelLoader\.setCustom
automation,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockStirlingGenerator.java,3,codechicken\.lib
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockTorqueBase.java,5,net\.minecraft\.block\. | BlockStateContainer | createBlockState\( | getMetaFromState\(
