file,line,import
src/main/java/net/shadowmage/ancientwarfare/automation/AWAutomationTab.java,4,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/AncientWarfareAutomation.java,11,net.minecraftforge.fml.common.event.FMLInitializationEvent
src/main/java/net/shadowmage/ancientwarfare/automation/AncientWarfareAutomation.java,12,net.minecraftforge.fml.common.event.FMLPreInitializationEvent
src/main/java/net/shadowmage/ancientwarfare/automation/AncientWarfareAutomation.java,13,net.minecraftforge.fml.common.event.FMLServerStartingEvent
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,3,net.minecraft.block.state.BlockStateContainer
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,4,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,5,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,6,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,8,net.minecraft.world.InteractionHand
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,10,net.minecraft.world.level.BlockGetter
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockAutoCrafting.java,11,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockBaseAutomation.java,3,net.minecraft.block.material.Material
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockBaseAutomation.java,4,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderDeluxe.java,3,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderDeluxe.java,4,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderDeluxe.java,5,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,3,net.minecraft.block.material.Material
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,4,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,5,net.minecraft.world.entity.LivingEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,6,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,7,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,8,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,10,net.minecraft.world.InteractionHand
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockChunkLoaderSimple.java,12,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,8,net.minecraft.block.material.Material
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,9,net.minecraft.block.state.BlockStateContainer
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,10,net.minecraft.world.level.block.state.BlockState
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,15,net.minecraft.world.entity.LivingEntity
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,16,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/block/BlockFlywheelController.java,17,net.minecraft.world.level.block.entity.BlockEntity
